iter	RMSE
0	8.181038376
1	8.05691184
2	7.945814486
3	7.824561327
4	7.701774216
5	7.5977013
6	7.509975925
7	7.407520144
8	7.313697533
9	7.238124812
10	7.166390855
11	7.092832256
12	7.023123917
13	6.961384308
14	6.891017076
15	6.834473881
16	6.76440598
17	6.697074287
18	6.628778015
19	6.573934904
20	6.519196735
21	6.470835773
22	6.419553332
23	6.365506499
24	6.322975975
25	6.279741034
26	6.235438047
27	6.199494801
28	6.151697037
29	6.107985675
30	6.072355999
31	6.035811818
32	6.001699956
33	5.966350288
34	5.929239545
35	5.895404862
36	5.860687063
37	5.823004833
38	5.79562364
39	5.768936385
40	5.747036938
41	5.722458836
42	5.70074791
43	5.678484194
44	5.664006152
45	5.630132799
46	5.613296105
47	5.585760162
48	5.572542848
49	5.548964041
50	5.526048552
51	5.508413004
52	5.487142764
53	5.46642204
54	5.442057661
55	5.423104363
56	5.407781456
57	5.391523223
58	5.367316139
59	5.341368062
60	5.325832878
61	5.311546688
62	5.294833827
63	5.274689887
64	5.251179583
65	5.239747967
66	5.221072131
67	5.21225419
68	5.199589251
69	5.182499234
70	5.171720035
71	5.154157201
72	5.142666147
73	5.125505687
74	5.106351553
75	5.089867989
76	5.074278989
77	5.052803933
78	5.044857452
79	5.025863651
80	5.014071576
81	4.990982371
82	4.983093668
83	4.966933068
84	4.953565288
85	4.947361453
86	4.938757371
87	4.923366432
88	4.911587387
89	4.903390338
90	4.886233116
91	4.881343956
92	4.869554118
93	4.857928021
94	4.851809185
95	4.835078343
96	4.820010306
97	4.813951395
98	4.792137621
99	4.783667674
100	4.763229215
101	4.747296224
102	4.738838013
103	4.726945745
104	4.71326627
105	4.703283385
106	4.686693749
107	4.675144629
108	4.663531177
109	4.648188978
110	4.635907313
111	4.626331453
112	4.622465448
113	4.609381597
114	4.596030178
115	4.581301884
116	4.573254067
117	4.568810433
118	4.559756908
119	4.551849923
120	4.544086045
121	4.538316525
122	4.531435669
123	4.517770726
124	4.505345849
125	4.499294063
126	4.493267846
127	4.487191324
128	4.478928654
129	4.472639876
130	4.467376423
131	4.457648362
132	4.452753315
133	4.44161938
134	4.424421247
135	4.42025612
136	4.409060185
137	4.402462272
138	4.398126289
139	4.392342382
140	4.377418272
141	4.373171677
142	4.362440826
143	4.359591968
144	4.347139914
145	4.338844564
146	4.331993929
147	4.319789087
148	4.308153312
149	4.303523086
150	4.298743929
151	4.29251952
152	4.277864533
153	4.272029299
154	4.267831971
155	4.260998992
156	4.252433671
157	4.239866996
158	4.229142648
159	4.222400641
160	4.215082062
161	4.210209215
162	4.205927856
163	4.202137145
164	4.195242099
165	4.18890365
166	4.185306817
167	4.183645595
168	4.174670843
169	4.166946445
170	4.157312782
171	4.154339288
172	4.149355866
173	4.14618712
174	4.140695073
175	4.136858003
176	4.131341962
177	4.123629823
178	4.11836603
179	4.109616523
180	4.098254595
181	4.094520172
182	4.085461092
183	4.081637866
184	4.077083424
185	4.068422313
186	4.06435593
187	4.061767162
188	4.050226039
189	4.037557873
190	4.026443833
191	4.023313259
192	4.013831613
